,Address ZIP,Address City,DCA License Number,License Type,License Expiration Date
52683,10128,NEW YORK,1314742-DCA,Business,12/31/2017
52684,10467,BRONX,2034745-DCA,Individual,02/28/2019
52685,11211,BROOKLYN,0913939-DCA,Business,12/31/2017
52686,11030,MANHASSET,2000065-DCA,Business,02/28/2019
52688,11234,BROOKLYN,1205312-DCA,Business,02/28/2019
52689,11203,BROOKLYN,2032830-DCA,Business,03/15/2019
52691,11590,WESTBURY,2029990-DCA,Individual,02/28/2019
52692,10028,NEW YORK,0429675-DCA,Business,03/31/2019
52693,11210,BROOKLYN,1219716-DCA,Individual,02/28/2019
52694,11221,BROOKLYN,1334583-DCA,Business,03/15/2019
52695,11230,BROOKLYN,1346746-DCA,Business,03/31/2018
52696,10314,STATEN ISLAND,1336271-DCA,Business,02/28/2019
52698,10465,BRONX,2056040-DCA,Individual,02/28/2019
52699,11359,BAYSIDE,1260602-DCA,Business,03/15/2019
52700,10522,DOBBS FERRY,1011190-DCA,Business,02/28/2019
52701,11212,BROOKLYN,2017634-DCA,Business,02/28/2019
52702,10011,NEW YORK,1381126-DCA,Business,06/30/2018
52703,10314,STATEN ISLAND,1220285-DCA,Business,02/28/2019
52704,10029,NEW YORK,1418415-DCA,Individual,10/31/2018
52705,11203,BROOKLYN,1162173-DCA,Business,12/31/2017
52706,11040,NEW HYDE PARK,1192264-DCA,Business,03/15/2018
52707,11219,BROOKLYN,1349567-DCA,Business,02/28/2019
52708,11385,RIDGEWOOD,2046826-DCA,Individual,02/28/2019
52709,10306,STATEN ISLAND,1134959-DCA,Business,12/31/2017
52710,11756,LEVITTOWN,1419886-DCA,Business,02/28/2019
52711,11419,SOUTH RICHMOND HILL,2037833-DCA,Individual,02/28/2019
52712,11417,OZONE PARK,1226936-DCA,Individual,02/28/2019
52713,11234,BROOKLYN,2012449-DCA,Individual,02/28/2019
52714,11222,BROOKLYN,1363028-DCA,Business,02/28/2019
52715,11422,ROSEDALE,1421807-DCA,Business,07/31/2019
52716,11204,BROOKLYN,2017473-DCA,Business,12/31/2018
52717,11706,BAY SHORE,1429172-DCA,Individual,02/28/2019
52718,10475,BRONX,2046615-DCA,Business,12/31/2018
52719,11224,BROOKLYN,2009756-DCA,Business,04/30/2018
52720,11204,BROOKLYN,0922372-DCA,Individual,02/28/2019
52721,11432,JAMAICA,1474750-DCA,Business,12/31/2017
52722,10710,YONKERS,1412463-DCA,Individual,02/28/2019
52723,11217,BROOKLYN,2042392-1-DCA,Business,12/31/2017
52724,10451,BRONX,2005194-DCA,Business,12/31/2017
52725,10705,YONKERS,0844103-DCA,Individual,02/28/2019
52726,11367,FLUSHING,0901835-DCA,Business,02/28/2019
52727,10301,STATEN ISLAND,2002026-DCA,Business,12/31/2017
52728,11205,BROOKLYN,2032329-1-DCA,Business,12/31/2017
52729,10456,BRONX,2049299-DCA,Individual,07/31/2018
52730,11213,BROOKLYN,2012527-DCA,Business,02/28/2019
52732,10550,MOUNT VERNON,2027519-DCA,Individual,10/31/2018
52733,11420,SOUTH OZONE PARK,1384659-DCA,Business,02/28/2019
52734,11358,FLUSHING,2059445-DCA,Individual,02/28/2019
52735,11214,BROOKLYN,1400304-DCA,Individual,05/31/2019
52736,11224,BROOKLYN,2057901-2-DCA,Business,12/31/2018
52737,11235,BROOKLYN,1077099-DCA,Business,03/31/2018
52738,10710,YONKERS,1098051-DCA,Business,02/28/2019
52739,10002,NEW YORK,2036965-DCA,Business,02/28/2019
52740,11204,BROOKLYN,2054273-DCA,Individual,02/28/2019
52741,11507,ALBERTSON,1353847-DCA,Business,02/28/2019
52742,11209,BROOKLYN,2059204-DCA,Individual,09/30/2018
52743,10019,NEW YORK,2017791-DCA,Business,12/31/2017
52744,10022,NEW YORK,0826599-DCA,Individual,02/28/2019
52745,11210,BROOKLYN,2053980-2-DCA,Business,12/31/2018
52746,10025,NEW YORK,0917493-DCA,Business,01/06/2018
52747,11203,BROOKLYN,1469110-DCA,Business,07/31/2019
52748,11385,RIDGEWOOD,2020890-DCA,Business,02/28/2019
52749,11214,BROOKLYN,1105750-DCA,Business,12/31/2018
52750,11419,SOUTH RICHMOND HILL,2029502-DCA,Business,02/28/2019
52751,10026,NEW YORK,2021879-DCA,Business,11/01/2017
